PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0079201
Kruskals;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0059511
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0026142
PrimHeap;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,004069
PrimSD;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0159163
PrimSL;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,007588
Kruskals;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0030148
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0012996
PrimHeap;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0062591
PrimSD;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0167363
PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0040579
Kruskals;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0043188
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0022976
PrimHeap;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0056081
PrimSD;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,014482
PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0059993
Kruskals;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0048816
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0046518
PrimHeap;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0027639
PrimSD;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0163611
PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,00446
Kruskals;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0089313
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0036941
PrimHeap;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0068255
PrimSD;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0285557
PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0059766
Kruskals;Nodes;100;Edges;40;CputTime;0,015625;Stopwatch;0,0042482
PrimPrio;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0014908
PrimHeap;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0049317
PrimSD;Nodes;100;Edges;40;CputTime;0,046875;Stopwatch;0,0216816
PrimSL;Nodes;100;Edges;40;CputTime;0;Stopwatch;0,0130598
Kruskals;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0256977
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0119129
PrimHeap;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0090213
PrimSD;Nodes;100;Edges;75;CputTime;0,078125;Stopwatch;0,0376808
PrimSL;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0106231
Kruskals;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0331456
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0050226
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0050659
PrimSD;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,020196
PrimSL;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0093139
Kruskals;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0321185
PrimPrio;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0040166
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0040086
PrimSD;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0214213
PrimSL;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,018999
Kruskals;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0363327
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0041813
PrimHeap;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0035001
PrimSD;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0196293
PrimSL;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,014342
Kruskals;Nodes;100;Edges;75;CputTime;0,046875;Stopwatch;0,0369989
PrimPrio;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0049596
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0077715
PrimSD;Nodes;100;Edges;75;CputTime;0,046875;Stopwatch;0,0198745
PrimSL;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,013567
Kruskals;Nodes;100;Edges;75;CputTime;0,046875;Stopwatch;0,0322697
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,001612
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0018149
PrimSD;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,004729
PrimSL;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0050326
Kruskals;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0236103
PrimPrio;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0032325
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0017209
PrimSD;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0052542
PrimSL;Nodes;100;Edges;75;CputTime;0,015625;Stopwatch;0,0093414
Kruskals;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,003934
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0010916
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0016922
PrimSD;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0050782
PrimSL;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0043531
Kruskals;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0043515
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0028916
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0037483
PrimSD;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0037473
PrimSL;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0045047
Kruskals;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0026645
PrimPrio;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0022726
PrimHeap;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0010341
PrimSD;Nodes;100;Edges;75;CputTime;0,03125;Stopwatch;0,0110419
PrimSL;Nodes;100;Edges;75;CputTime;0;Stopwatch;0,0048071
Kruskals;Nodes;500;Edges;15;CputTime;0,046875;Stopwatch;0,0434635
PrimPrio;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0099296
PrimHeap;Nodes;500;Edges;15;CputTime;0;Stopwatch;0,0040834
PrimSD;Nodes;500;Edges;15;CputTime;0,03125;Stopwatch;0,0349524
PrimSL;Nodes;500;Edges;15;CputTime;0,046875;Stopwatch;0,0448446
Kruskals;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0175169
PrimPrio;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0405636
PrimHeap;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0144446
PrimSD;Nodes;500;Edges;15;CputTime;0,046875;Stopwatch;0,0363062
PrimSL;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0233508
Kruskals;Nodes;500;Edges;15;CputTime;0;Stopwatch;0,0253226
PrimPrio;Nodes;500;Edges;15;CputTime;0,03125;Stopwatch;0,0246636
PrimHeap;Nodes;500;Edges;15;CputTime;0,015625;Stopwatch;0,0178438
PrimSD;Nodes;500;Edges;15;CputTime;0,03125;Stopwatch;0,0339112
PrimSL;Nodes;500;Edges;15;CputTime;0,03125;Stopwatch;0,034222
Kruskals;Nodes;500;Edges;15;CputTime;0,03125;Stopwatch;0,0254501
PrimPrio;Nodes;500;Edges;15;CputTime;0;Stopwatch;0,0125464
